
running 322 tests
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_a0002_puml stdout ----

thread 'reference_fixtures_activity_a0002_puml' (2164068) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/a0002.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_class_hideshow001_puml stdout ----

thread 'reference_fixtures_class_hideshow001_puml' (2164090) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/class/hideshow001.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_component_colors001_puml stdout ----

thread 'reference_fixtures_component_colors001_puml' (2164100) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/component/colors001.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_class_hideshow003_puml stdout ----

thread 'reference_fixtures_class_hideshow003_puml' (2164092) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/class/hideshow003.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_class_class_funcparam_arrow_02_puml stdout ----

thread 'reference_fixtures_class_class_funcparam_arrow_02_puml' (2164087) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/class/class_funcparam_arrow_02.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_class_hideshow004_puml stdout ----

thread 'reference_fixtures_class_hideshow004_puml' (2164093) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/class/hideshow004.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_class_xmi0003_puml stdout ----

thread 'reference_fixtures_class_xmi0003_puml' (2164097) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/class/xmi0003.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_class_hideshow002_puml stdout ----

thread 'reference_fixtures_class_hideshow002_puml' (2164091) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/class/hideshow002.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
